siteID,season,year,fish_unique_taxa,total_individuals,total_biomass
POSE,spring,2022,4,336,619.3
POSE,spring,2023,4,429,579
TECR,fall,2019,1,426,8080.6
TECR,fall,2022,1,22,422.3
TECR,fall,2023,1,155,5612
TECR,spring,2022,1,225,4964
TECR,summer,2021,1,271,8169.9
WALK,fall,2016,2,154,267
WALK,fall,2017,2,466,982.2
WALK,fall,2018,4,423,1222.3
WALK,fall,2019,3,353,715.1
WALK,fall,2020,2,539,1082.8
WALK,fall,2021,2,325,707.7
WALK,fall,2022,2,324,503.4
WALK,fall,2023,2,364,647.4
WALK,spring,2016,3,160,1216.8
WALK,spring,2017,3,930,1637.2
WALK,spring,2018,5,348,1216.5
WALK,spring,2019,2,259,837.1
WALK,spring,2020,2,288,658.8
WALK,spring,2021,2,108,274.9
WALK,spring,2022,2,300,879.3
WALK,spring,2023,2,266,559.5
WLOU,fall,2017,1,107,1040.7
WLOU,fall,2018,1,117,1708.1
WLOU,fall,2019,1,180,3056.1
WLOU,fall,2021,1,137,2037.1
WLOU,fall,2022,1,129,2203.3
WLOU,fall,2023,1,148,2169
WLOU,spring,2018,1,47,428.3
WLOU,spring,2021,1,54,620.9
WLOU,summer,2017,1,36,328.5
WLOU,summer,2022,1,72,1326.8
WLOU,summer,2023,1,73,1345.6
