uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks,publicationDate,release
1bf37ca5-f94b-40d4-85a3-66aef1c108e1,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T06:00:00Z,2018-04-02T19:25:00Z,MAYF.20180402.02.2.e-fisher,2,14,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,114,2.3,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
2b87fab5-323d-4200-a9f8-d3c60c98f37f,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T06:00:00Z,2018-04-02T19:25:00Z,MAYF.20180402.02.2.e-fisher,2,10,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,139,4.3,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
c28d628f-ebd7-441c-b31f-ac5914b6503a,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T06:00:00Z,2018-04-02T19:25:00Z,MAYF.20180402.02.2.e-fisher,2,4,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,80,0.6,NA,NA,NA,juvenile,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
1854feda-7620-4fa5-99c5-b70284a799b0,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T06:00:00Z,2018-04-02T19:25:00Z,MAYF.20180402.02.2.e-fisher,2,2,NOTFUN,Noturus funebris,species,NA,NA,NA,149,40.5,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
422bc038-56fd-4549-9b29-082e209d97be,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T06:00:00Z,2018-04-02T19:25:00Z,MAYF.20180402.02.2.e-fisher,2,11,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,106,2,NA,NA,NA,juvenile,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
4934de63-0b4a-46ef-b2f1-942f6237bd8e,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T06:00:00Z,2018-04-02T19:25:00Z,MAYF.20180402.02.2.e-fisher,2,12,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,86,1.1,NA,NA,NA,juvenile,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
0e6a57d3-3637-40c2-baf3-d6b8075f7592,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,34,NOTBAI,Notropis baileyi,species,NA,NA,NA,48,0.6,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
cbacf78c-cc13-4818-877d-65fe01c5c7b1,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,11,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,132,3.3,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
c3d922ed-9cda-462f-ab87-fb8232f98d95,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,29,NOTBAI,Notropis baileyi,species,NA,NA,NA,58,1.9,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
0abd96dd-feb9-4c32-be62-2afabc882cd8,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,12,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,105,1.7,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
5bd44045-c3fa-49eb-8e2a-d89c57fc2778,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,52,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,134,3.9,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
bd2b24d2-90c4-406e-9dc9-5007b5404706,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,7,NOTBAI,Notropis baileyi,species,NA,NA,NA,28,0.3,NA,NA,NA,juvenile,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
3a7ccd36-0cea-426d-a2ce-3e5987736939,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,56,NOTBAI,Notropis baileyi,species,NA,NA,NA,59,1.8,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
3be9505e-ab72-4f5b-b8da-0e25e3c29014,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,1,NOTBAI,Notropis baileyi,species,NA,NA,NA,47,0.9,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
bd51a3a5-0ba5-491a-84b9-342609a931ca,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,55,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,130,3.1,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
076e2c3a-1243-4ce4-b125-ac28d5aec063,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,5,FUNOLI,Fundulus olivaceus,species,NA,NA,NA,34,0.3,NA,NA,NA,juvenile,both voucher and dna samples collected,FSH.MAYF.02.20180402.1.0005,FSH.MAYF.02.20180402.1.0005.DNA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
56c2dc67-df29-4bd0-91b7-a7da7f59d786,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,8,NOTBAI,Notropis baileyi,species,NA,NA,NA,60,1.9,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
254b1550-0be2-4832-a223-8ac595d7139b,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,10,PERNIG,Percina nigrofasciata,species,NA,NA,NA,47,0.7,NA,Y,NA,adult,dna sample only,FSH.MAYF.02.20180402.1.0010,FSH.MAYF.02.20180402.1.0010.DNA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
69944845-1a99-4daa-85e8-4b6ac80433d4,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,36,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,140,4.2,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
f947ee65-f72f-4f32-8d38-d4160782b53c,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,20,NOTBAI,Notropis baileyi,species,NA,NA,NA,33,0.3,NA,NA,NA,juvenile,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
8099c13a-ae70-4373-a887-af336abcfee4,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,19,NOTBAI,Notropis baileyi,species,NA,NA,NA,56,1.5,NA,NA,NA,adult,dna sample only,FSH.MAYF.02.20180402.1.0019,FSH.MAYF.02.20180402.1.0019.DNA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
8c1bbd90-433c-4887-ae74-9be47405d4fa,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,40,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,98,1.9,NA,NA,NA,juvenile,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
d646cf0b-e462-4ab0-85bc-15d943c0bdef,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,3,NOTBAI,Notropis baileyi,species,NA,NA,NA,50,0.8,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
5eaf52bb-4133-43cb-9459-8cf46be311ae,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,35,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,117,2.6,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
77752455-5810-401f-a684-70b92c282015,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,39,ICHGAG,Ichthyomyzon gagei,species,NA,NA,NA,112,3.6,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
d4f5b9fe-f898-4328-a0a2-fcecc4d06365,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,59,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,103,1.6,NA,NA,NA,juvenile,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
7bbc22ea-dbf7-42ec-8c92-94c8344eac4c,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,13,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,112,2.3,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
4030fba0-73fe-4f6d-b8c2-a11893afe1e1,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,46,NOTBAI,Notropis baileyi,species,NA,NA,NA,58,1.6,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
48eb123f-fe3d-45ff-93aa-37ae5ed87a0f,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,16,NOTBAI,Notropis baileyi,species,NA,NA,NA,54,1,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
d8643bc0-d928-479d-a031-1a331ff044c4,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,61,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,82,1,NA,NA,NA,juvenile,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
20556f5a-7973-4b48-b3f6-a0cbbe0c714f,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,26,NOTBAI,Notropis baileyi,species,NA,NA,NA,60,2.1,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
d6013bf7-9846-48db-b46c-ac944a630176,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,24,ESOAME2,Esox americanus,species,NA,NA,NA,52,0.8,NA,NA,NA,juvenile,dna sample only,FSH.MAYF.02.20180402.1.0024,FSH.MAYF.02.20180402.1.0024.DNA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
e9138d35-ae91-4e70-a13e-6318d5c52336,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,57,NOTBAI,Notropis baileyi,species,NA,NA,NA,68,2.7,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
f557a1c2-74ea-4d8c-b74e-3622d25f1df2,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,27,NOTBAI,Notropis baileyi,species,NA,NA,NA,42,0.7,NA,NA,NA,juvenile,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
9b5809f2-5a55-4ff0-9860-58f25036a1cf,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,42,NOTFUN,Noturus funebris,species,NA,NA,NA,134,23.5,NA,NA,NA,adult,dna sample only,FSH.MAYF.02.20180402.1.0042,FSH.MAYF.02.20180402.1.0042.DNA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
7e060de5-ccf8-4849-a226-835af213ae3f,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,64,NOTBAI,Notropis baileyi,species,NA,NA,NA,67,2.6,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
f7f2f207-343e-4651-8994-b21c1703e1cd,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,68,ICHGAG,Ichthyomyzon gagei,species,NA,NA,NA,103,1.8,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
2e28e473-5b0f-4a59-b172-b2a9f071c7a4,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,72,NOTBAI,Notropis baileyi,species,NA,NA,NA,46,0.7,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
ab370567-50c0-49ce-9173-2007478785d4,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,69,NOTBAI,Notropis baileyi,species,NA,NA,NA,50,0.8,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
3fab0537-1754-48c9-aa2f-a9e644663719,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,37,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,133,3.7,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
75076fba-f3fd-4154-b437-3d8ece87ecd9,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,33,NOTBAI,Notropis baileyi,species,NA,NA,NA,42,0.6,NA,NA,NA,juvenile,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
113755b0-7d2d-4035-a6c6-a28cfec5d50f,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,45,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,113,2.4,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
0b08b500-7751-4ae5-a7f6-e85025dd7411,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,22,NOTBAI,Notropis baileyi,species,NA,NA,NA,51,1.1,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
5d630d4b-c504-40bc-8006-8345018eb0a7,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,6,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,136,4,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
73af1c27-a1f7-4644-85a7-35443667ca61,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,48,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,136,3.5,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
40d8df5b-ebe9-481f-a3bd-76dc0b90b65f,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,41,NOTFUN,Noturus funebris,species,NA,NA,NA,145,32.6,NA,NA,NA,adult,dna sample only,FSH.MAYF.02.20180402.1.0041,FSH.MAYF.02.20180402.1.0041.DNA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
e79a907f-c8cc-4f28-a3a0-832c5b0b91db,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,53,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,103,1.9,NA,NA,NA,juvenile,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
67079c93-f1a1-4612-95b5-3631cb295d37,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,2,NOTBAI,Notropis baileyi,species,NA,NA,NA,27,0.3,NA,NA,NA,juvenile,no sample,NA,NA,kparis@battelleecology.org,Weight is 0.0,20231228T181818Z,RELEASE-2024
9a44799a-df9c-4b93-b5c3-cbb0782ea979,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,14,FUNOLI,Fundulus olivaceus,species,NA,NA,NA,70,2.1,NA,NA,NA,adult,dna sample only,FSH.MAYF.02.20180402.1.0014,FSH.MAYF.02.20180402.1.0014.DNA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
61918ab0-2c22-4792-adfc-306c856b3e14,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,4,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,129,4.8,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
a541b334-7c55-40b0-b06b-a9de9fd89fe4,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,58,NOTBAI,Notropis baileyi,species,NA,NA,NA,58,1.6,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
ea738f49-3bdc-4da7-8c84-cb27340d4350,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,47,NOTBAI,Notropis baileyi,species,NA,NA,NA,59,1.8,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
ddceeca9-a24e-480d-93d3-2fc2e4dbf71e,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,62,NOTBAI,Notropis baileyi,species,NA,NA,NA,52,1.2,Lesions/parasites,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
4c2c352a-4bb7-4d67-9f5e-bed00369d87d,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,9,NOTBAI,Notropis baileyi,species,NA,NA,NA,51,1,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
0063ee59-5f47-4d52-869d-ea8e15ef12d4,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,49,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,86,1.2,NA,NA,NA,juvenile,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
90999f2b-c5f2-41e8-ab03-5b9dc5ff776f,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,30,NOTBAI,Notropis baileyi,species,NA,NA,NA,50,0.9,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
8fe7ead1-e6f5-4dca-9ca1-6fab026f62c6,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,28,NOTBAI,Notropis baileyi,species,NA,NA,NA,53,1.5,NA,NA,NA,adult,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
43f97c58-19ef-4501-a424-68740a2953cf,D08,MAYF,MAYF.AOS.fish.point.02,2018-04-02T15:20:00Z,2018-04-02T17:15:00Z,MAYF.20180402.02.1.e-fisher,1,38,LAMAEP,Lampetra aepyptera,species,NA,NA,NA,89,1.3,NA,NA,NA,juvenile,no sample,NA,NA,kparis@battelleecology.org,NA,20231228T181818Z,RELEASE-2024
